Lat,Lat_d,Lon,Lon_d,timgps,numsat
20.542506666666668,N,-100.82283833333334,W,00:51:27,7
20.542525,N,-100.82284666666666,W,00:51:28,7
20.542543333333334,N,-100.82283833333334,W,00:51:29,7
20.542556666666666,N,-100.82283833333334,W,00:51:30,7
20.542533333333335,N,-100.82282666666667,W,00:51:31,8
20.542538333333333,N,-100.82282,W,00:51:32,8
20.54253,N,-100.82283833333334,W,00:51:33,8
20.542473333333334,N,-100.82279333333334,W,00:51:34,8
20.542515,N,-100.82282666666667,W,00:51:35,8
20.54256,N,-100.82283,W,00:51:36,8
20.542543333333334,N,-100.82282666666667,W,00:51:37,8
